,Country,Population,Total_Cases,Result
157,Switzerland,8665615,3668054,42.32883644149896
158,Syria,17571053,55885,0.3180515134750319
159,Tajikistan,9573310,17786,0.18578736090234205
160,Tanzania,60012400,35354,0.05891115836060548
161,Thailand,69830779,4442648,6.362019819369335
162,Timor-Leste,1322667,22912,1.7322576279592672
163,Togo,8310934,37079,0.4461472080033363
164,Tonga,105901,11636,10.987620513498456
165,Trinidad and Tobago,1400283,160886,11.489534615502723
166,Tunisia,11839918,1042362,8.803794080330624
167,Turkey,84495243,15070000,17.835323581470735
168,US,331341050,83980356,25.345593611174948
169,Uganda,45974931,164366,0.3575122276964374
170,Ukraine,43686577,5040518,11.537910145718214
171,United Arab Emirates,9910892,907069,9.15224381417939
172,United Kingdom,67948282,22463260,33.059349462286626
173,Uruguay,3475842,916388,26.36448952512801
174,Uzbekistan,33551824,238983,0.7122802027096947
175,Vanuatu,308337,8924,2.8942358523304046
176,Venezuela,28421581,523593,1.8422374181084438
177,Vietnam,97490013,10716361,10.992265433383418
178,Yemen,29935468,11819,0.039481594207914174
179,Zambia,18468257,321503,1.7408410550058946
180,Zimbabwe,14899771,251959,1.6910259895940682
